PRODUCT_ID,PRODUCT_METADATA
4572,Snack Bars
6312,Confections
2639,Snack Bites
5525,Hemp
3694,Cheese + Plant Based Cheese
6550,Mixers
4924,Hemp Ingestibles
5460,Tea
688,Shots + Elixirs
5284,Condiments
6058,Spice + Seasoning
5296,Fruit Spreads + Preserves
5483,Hemp Ingestibles
6077,Meat + Seafood
6100,Chips + Crisps
6529,Tea
3023,Bath + Body Care
6129,Supplements
4911,Dairy + Plant Based Alternatives
5091,Shelf Stable Non-Dairy Milk
6141,Pets
4844,Functional
5316,Personal Care
5585,Functional
4944,Zero-Proof NA
6540,Dessert
1092,Hemp Edibles
5508,"Rice, Beans + Grains"
3276,Hemp
5517,Sweeteners + Syrup
5568,Desserts
6321,Spice + Seasoning
6199,Tea
4654,Personal Care
4578,Skin Care
4304,Oral Care
5596,Condiments
4657,Hemp Ingestibles
5318,Supplements
4303,Personal Care
4307,Oral Care
5325,RTD Coffee
2911,Food Service
4565,Oil + Vinegar
5419,Zero-Proof NA
4637,Sparkling
5512,Nuts + Fruits
6314,Gut Health
5451,Sweeteners + Syrup
5610,Hot sauce
5463,Nuts + Fruits
3862,"Pasta, Noodles + Sauces"
5466,Nuts + Fruits
3855,Oil + Vinegar
475,Cookies
5614,Baking
5441,Snack Bars
5111,Nuts + Fruits
4197,Crackers
5330,Oatmeal + cereals
6552,Hot sauce
5448,Nut + Seed Butter
4665,Snack Bites
5913,Bath + Body Care
5469,Nuts + Fruits
4397,Hemp Ingestibles
5468,Nuts + Fruits
4313,Hemp Ingestibles
5336,Functional
2409,Jerky
5332,Functional
5478,Nuts + Fruits
4668,"Rice, Beans + Grains"
6329,Soup + Broth
4669,"Rice, Beans + Grains"
6330,Performance Nutrition
6567,Bath + Body Care
4667,Dairy + Plant Based Alternatives
5475,Nuts + Fruits
2490,Bread
5117,"Olives, Pickles + Relish"
4968,Functional
6154,Kitchenware
3708,Zero-Proof NA
4586,Supplements
4512,RTD Coffee
2330,Hemp
6342,Soup + Broth
735,Chocolate
6571,"Olives, Pickles + Relish"
5133,Personal Care
3888,Jerky
2021,Nut + Seed Butter
2843,Plant Based
4750,Snack Bars
4672,Oatmeal + cereals
4224,Cookies
6030,Cleaning 
3016,Coffee
4323,Sweeteners + Syrup
5341,Zero-Proof NA
4587,Functional
5343,Supplements
5122,Chips + Crisps
4680,Chips + Crisps
4679,Oil + Vinegar
4686,Soup + Broth
4684,Spice + Seasoning
6344,Plant Based
4327,RTD Tea
4697,Oatmeal + cereals
1031,Functional Foods
4339,Oral Care
4402,Soup + Broth
4338,Oral Care
6345,Supplements
4853,Juice
5346,Hemp Ingestibles
4699,Bread
4340,Oral Care
4266,Chocolate
4346,Supplements
4704,Chocolate
5129,"Olives, Pickles + Relish"
5348,Juice
4344,RTD Coffee
4594,RTD Coffee
5352,Shots + Elixirs
6575,Supplements
4336,RTD Tea
5350,Hemp Ingestibles
6576,Supplements
5361,Hemp Ingestibles
5353,Hemp Topicals + Tinctures
6349,Sodas
2291,Juice
3149,Snack Bites
5358,Hemp Topicals + Tinctures
4407,Desserts
4348,Spice + Seasoning
3265,RTD Tea
3587,Shots + Elixirs
6582,Supplements
6578,Supplements
1336,Jerky
4712,Spice + Seasoning
4713,Shelf Stable Non-Dairy Milk
6587,Supplements
6588,Bath + Body Care
4993,Snack Bites
5365,"Pasta, Noodles + Sauces"
4353,Zero-Proof NA
4352,Zero-Proof NA
6594,Bath + Body Care
4991,Pets
4987,Cleaning 
405,Superfood Mixes + Granola
5144,Skin Care
4605,Performance Nutrition
4357,Crackers
4290,Personal Care
3701,Shelf Stable Non-Dairy Milk
4414,Nut + Seed Butter
4720,Baking
5147,Skin Care
5150,Chips + Crisps
4422,Skin Care
2309,"Sauces, Salsas + Dips"
4718,Baking
4420,Oil + Vinegar
4722,Bath + Body Care
4723,Functional
4999,Nut + Seed Butter
6103,"Sauces, Salsas + Dips"
6362,Plant Based Protein
5155,Functional Foods
4437,Sausage
4368,Supplements
4431,Functional Foods
4616,Supplements
4627,Hemp Ingestibles
4732,Baking
5008,Nuts + Fruits
5010,Cleaning 
2946,Kitchenware
4748,Nut + Seed Butter
4375,Condiments
4737,Baking
2830,"Olives, Pickles + Relish"
4759,Supplements
4756,Oral Care
4447,Functional
5383,Spice + Seasoning
5385,Hemp Topicals + Tinctures
5387,Hemp Topicals + Tinctures
5025,Condiments
4464,Coffee
5391,Hemp Topicals + Tinctures
6611,RTD Tea
4466,Baked Goods
6377,Hemp Topicals + Tinctures
5396,Appetizers + Snacks
5196,Baking
4155,Baked Goods
5408,Nuts + Fruits
5303,Hemp Ingestibles
6096,Chips + Crisps
3021,Bath + Body Care
6541,Dessert
5433,Confections
6528,Tea
6537,Dessert
3082,RTD Coffee
6551,Coffee
4251,Snack Bars
6166,Kitchenware
3913,Condiments
5898,Bath + Body Care
4256,Performance Nutrition
4892,Oatmeal + cereals
5447,Nut + Seed Butter
4955,Chips + Crisps
4399,Chocolate
6570,Coffee
6338,Pets
2298,Sweeteners + Syrup
6573,Popped + Puffed
4334,Waters
5135,Tea
4406,Baking
4275,Waters
6585,Supplements
6350,Functional
6583,Supplements
2343,Functional
4714,Shelf Stable Non-Dairy Milk
3454,Hemp Ingestibles
5143,Skin Care
4378,Hot sauce
4995,Plant Based
4997,Spice + Seasoning
5170,Chips + Crisps
4626,Hemp Ingestibles
5018,Sparkling
4747,Snack Bites
5021,Functional
6158,Kitchenware
6374,Functional
6613,Baking
6340,Confections
5126,Nuts + Fruits
5030,Waters
5036,Oral Care
5034,Oral Care
4769,RTD Tea
5402,Spice + Seasoning
6206,Condiments
4164,Hemp
5031,Oral Care
4480,Confections
5046,Plant Based Protein
5047,Supplements
5204,Jerky
4482,Plant Based
6379,Hemp Ingestibles
4774,Functional
6383,Oil + Vinegar
6380,Functional
6159,Kitchenware
4483,Plant Based
5059,Snack Bars
5206,"Sauces, Salsas + Dips"
4484,Hemp
5415,Functional
6382,Food + Drink
5064,Cleaning 
4778,Personal Care
5219,Performance Nutrition
6211,Cleaning 
4496,Chocolate
5075,Sparkling
4790,Nuts + Fruits
5076,Waters
5220,Baking
4498,Superfood Mixes + Granola
4794,Kitchenware
5225,Spice + Seasoning
5080,Bath + Body Care
3967,Chocolate
5233,Sweeteners + Syrup
2507,Hemp
309,Popped + Puffed
1122,Fresh Bread
269,Confections
4948,Functional Foods
6130,Supplements
4912,Condiments
6168,Kitchenware
5600,Hemp Ingestibles
4849,Chips + Crisps
6322,Functional
2514,Juice
4768,Functional
6152,Kitchenware
3366,Supplements
5314,Soup + Broth
5920,Bath + Body Care
5961,Personal Care
6009,Cleaning 
4902,Waters
6098,Chips + Crisps
6107,Soup + Broth
6148,Hemp Topicals + Tinctures
5581,Shots + Elixirs
4920,Functional
5106,Nuts + Fruits
5597,Condiments
5323,Hot sauce
4235,"Sauces, Salsas + Dips"
6150,Kitchenware
4529,Condiments
5589,Hemp Ingestibles
5516,"Rice, Beans + Grains"
4658,Functional
6204,Chocolate
6167,Kitchenware
5454,Baking
3879,"Pasta, Noodles + Sauces"
4584,Skin Care
3405,RTD Tea
2775,Chips + Crisps
4321,Sweeteners + Syrup
4675,Bath + Body Care
5125,Nuts + Fruits
2334,Chips + Crisps
6577,Supplements
2740,Shelf Stable Non-Dairy Milk
2739,RTD Coffee
2333,Sparkling
574,Chips + Crisps
4408,Oil + Vinegar
6592,Bath + Body Care
6586,Supplements
4292,Snack Bars
3676,Oatmeal + cereals
6595,Supplements
6597,Bath + Body Care
6598,Nuts + Fruits
4730,Honey
5160,Popped + Puffed
5004,Sparkling
6605,Supplements
4621,Hemp Ingestibles
4451,Chocolate
6609,Sodas
4755,Oral Care
4761,Functional
5384,Spice + Seasoning
6205,Functional
5108,Nuts + Fruits
3936,Tea
3919,Honey
4320,Oral Care
4600,"Sauces, Salsas + Dips"
5369,Snack Bars
6370,Chips + Crisps
3703,Chips + Crisps
5200,Hemp Edibles
6165,Kitchenware
1332,Plant Based Protein
6208,Coffee
5051,Supplements
